,,,,,,,,,,,,
rot_5x,0,0,0,0,5,0,0,0,0,0,0,0
rot_10x,0,0,0,0,10,0,0,0,0,0,0,0
rot_15x,0,0,0,0,15,0,0,0,0,0,0,0
rot_20x,0,0,0,0,20,0,0,0,0,0,0,0
rot_25x,0,0,0,0,25,0,0,0,0,0,0,0
rot_30x,0,0,0,0,30,0,0,0,0,0,0,0
rot_minus5x,0,0,0,0,-5,0,0,0,0,0,0,0
rot_minus10x,0,0,0,0,-10,0,0,0,0,0,0,0
rot_minus15x,0,0,0,0,-15,0,0,0,0,0,0,0
rot_minus20x,0,0,0,0,-20,0,0,0,0,0,0,0
rot_minus25x,0,0,0,0,-25,0,0,0,0,0,0,0
rot_minus30x,0,0,0,0,-30,0,0,0,0,0,0,0
rot_5y,0,0,0,0,0,5,0,0,0,0,0,0
rot_10y,0,0,0,0,0,10,0,0,0,0,0,0
rot_15y,0,0,0,0,0,15,0,0,0,0,0,0
rot_20y,0,0,0,0,0,20,0,0,0,0,0,0
rot_25y,0,0,0,0,0,25,0,0,0,0,0,0
rot_30y,0,0,0,0,0,30,0,0,0,0,0,0
rot_minus5y,0,0,0,0,0,-5,0,0,0,0,0,0
rot_minus10y,0,0,0,0,0,-10,0,0,0,0,0,0
rot_minus15y,0,0,0,0,0,-15,0,0,0,0,0,0
rot_minus20y,0,0,0,0,0,-20,0,0,0,0,0,0
rot_minus25y,0,0,0,0,0,-25,0,0,0,0,0,0
rot_minus30y,0,0,0,0,0,-30,0,0,0,0,0,0
rot_5z,0,0,0,5,0,0,0,0,0,0,0,0
rot_10z,0,0,0,10,0,0,0,0,0,0,0,0
rot_10z,0,0,0,15,0,0,0,0,0,0,0,0
rot_20z,0,0,0,20,0,0,0,0,0,0,0,0
rot_25z,0,0,0,25,0,0,0,0,0,0,0,0
rot_30z,0,0,0,30,0,0,0,0,0,0,0,0
rot_minus5z,0,0,0,-5,0,0,0,0,0,0,0,0
rot_minus10z,0,0,0,-10,0,0,0,0,0,0,0,0
rot_minus10z,0,0,0,-15,0,0,0,0,0,0,0,0
rot_minus20z,0,0,0,-20,0,0,0,0,0,0,0,0
rot_minus25z,0,0,0,-25,0,0,0,0,0,0,0,0
rot_minus30z,0,0,0,-30,0,0,0,0,0,0,0,0
shear_point02yx,0,0,0,0,0,0,0,0,0,0.02,0,0
shear_point04yx,0,0,0,0,0,0,0,0,0,0.04,0,0
shear_point06yx,0,0,0,0,0,0,0,0,0,0.06,0,0
shear_point08yx,0,0,0,0,0,0,0,0,0,0.08,0,0
shear_point09yx,0,0,0,0,0,0,0,0,0,0.09,0,0
shear_point1yx,0,0,0,0,0,0,0,0,0,0.1111,0,0
shear_minuspoint02yx,0,0,0,0,0,0,0,0,0,-0.02,0,0
shear_minuspoint04yx,0,0,0,0,0,0,0,0,0,-0.04,0,0
shear_minuspoint06yx,0,0,0,0,0,0,0,0,0,-0.06,0,0
shear_minuspoint08yx,0,0,0,0,0,0,0,0,0,-0.08,0,0
shear_minuspoint09yx,0,0,0,0,0,0,0,0,0,-0.09,0,0
shear_minuspoint1yx,0,0,0,0,0,0,0,0,0,-0.1111,0,0
shear_point02zx,0,0,0,0,0,0,0,0,0,0,0.02,0
shear_point04zx,0,0,0,0,0,0,0,0,0,0,0.04,0
shear_point06zx,0,0,0,0,0,0,0,0,0,0,0.06,0
shear_point08zx,0,0,0,0,0,0,0,0,0,0,0.08,0
shear_point09zx,0,0,0,0,0,0,0,0,0,0,0.09,0
shear_point1zx,0,0,0,0,0,0,0,0,0,0,0.1111,0
